Verträglichkeit,Histamin,Andere Amine,Liberator,Blocker,Zutat,Anmerkungen,
0,,,,,Eidotter,,
2,,,L,,"Eier, Hühnerei, Vollei","Eigelb ist verträglich, Eiklar kann vor allem roh, aber auch gekocht
mastzellaktivierend sein",
0,,,,,Eigelb,,
2,,,L,,"Eiklar, Eiweiss, Eiweiß","Vor allem roh, aber sogar gekocht mastzellaktivierend",
0,,,,,Wachteleier,,
2,H,A,?,,Blauschimmelkäse,,
1,H,A,,,"Butter: Sauerrahmbutter, mildgesäuerte Butter",Kann geringe Mengen Histamin enthalten. Meist ausreichend verträglich.,
0,,,,,"Butter: Süßrahmbutter, Süssrahmbutter","Süßrahmbutter ist die normale Butter aus frischem, nicht mit Bakterien
angesäuertem Rahm.",
0,,,,,Butterkäse,,
1,H,,,,"Buttermilch, angesäuert",Milchsäuregärung,
2,H,A,,,Cheddar Käse,,
1,H,,,,crème fraïche,Milchsäuregärung! Schwach histaminhaltig.,
2,H,A,?,,Edelschimmelkäse,,
1,H,A,,,Feta Käse,,
2,H,A,,,Fontina Käse,,
0,,,,,Frischkäse,,
0,,,,,Geheimratskäse,,
2,,,,,"Gouda Käse, gereift",,
0,,,,,"Gouda Käse, jung",Grosse Mengen evtl. unverträglich,
0,,,?,,"Haltbarmilch, H-Milch, UHT-Milch, Up-Milch",Grundsätzlich verträglich. Wird meist sehr lange und ungekühlt gelagert.,
1,H,?,,,Joghurt nature,Je nach Produkt unterschiedlich,
3,H,A,,,Käse: lange gereifte Sorten und Hartkäse (z.B. Emmentaler),,
2,?,?,?,,Käsezubereitungen (=Mischungen mit weiteren Zutaten),Abhängig von Zutaten und Frische,
1,H,A,,,Kefir,,
0,,,,,Mascarpone Käse,,
1,H,,?,,"Milch, laktosefrei","Evtl. leicht histaminhaltig, nur geringfügig schlechter verträglich als
normale Milch.",
0,,,?,,"Milch, pasteurisiert (PAST-Milch)","Milch kann unverträglich sein, solange der Darm noch gereizt ist.",
1,?,,?,,Milchpulver,Uneinheitlich. Kann auch verträglich sein.,
0,,,,,Molke,,
0,,,,,Mozzarella Käse,,
0,,,,,"Obers, Sahne (wenn ohne Zusatzstoffe)","Unfermentiert, ohne Zusatzstoffe. Vorsicht: meist mit unverträglichen Verdickungsmitteln/Stabilisatoren, z.B. E407, E410!",
0,,,,,Quark,,
2,H,A,,,Raclette Käse,,
0,,,,,"Rahm, süß (wenn ohne Zusatzstoffe)","Unfermentiert, ohne Zusatzstoffe. Vorsicht: meist mit unverträglichen Verdickungsmitteln/Stabilisatoren, z.B. E407, E410!",
0,,,,,Ricotta Käse,,
0,H!,?,?,,Rohmilch,Verderblicher wegen höherer Keimzahl. Nur ganz frisch verwenden.,
2,H,A,,,Rohmilchkäse,Je nach Hygiene. Risiko höher als bei Käse aus pasteurisierter Milch,
2,H,A,,,Rohmilchprodukte,,
2,H,A,,,Roquefort Käse,,
0,,,,,"Sahne, süß (wenn ohne Zusatzstoffe)","Unfermentiert, ohne Zusatzstoffe. Vorsicht: meist mit unverträglichen Verdickungsmitteln/Stabilisatoren, z.B. E407, E410!",
1,H,,,,Sauerrahm,Milchsäuregärung! Schwach histaminhaltig.,
1,H,,,,saure Sahne,Milchsäuregärung! Schwach histaminhaltig.,
0,,,?,,"Schafmilch, Schafsmilch",,
2,H,A,?,,Schimmelkäse,,
0,,,,,"Schlagobers, Schlagsahne (wenn ohne Zusatzstoffe)",,"Unfermentiert, ohne Zusatzstoffe. Vorsicht: meist mit unverträglichen Verdickungsmitteln/Stabilisatoren, z.B. E407, E410!"
2,H,A,,,Schmelzkäse,,
